Values,Weight,ANCHOR,BALL,BOOK,CASTLE,FLOWER,FROG,KEY,MOUSE,POTATO,SHELF,SHIP,TOMATO
{'e_1'},22.50000000000007,1,1,0,0,0,1,1,0,1,0,1,0
{'a_2'},20.40000000000004,1,1,0,0,0,1,1,0,1,0,1,0
{'o_1'},15.39999999999998,0,0,1,1,1,0,0,1,0,1,0,1
"{'o_1', 'i_2'}",12.99999999999999,0,0,1,1,1,0,0,1,0,1,0,1
{'i_2'},12.59999999999999,0,0,1,1,1,0,0,1,0,1,0,1
"{'e_1', 'a_2'}",12.59999999999999,1,1,0,0,0,1,1,0,1,0,1,0
set(),10.299999999999999,0,0,0,0,0,0,0,0,0,0,1,0
{'le_1'},0,1,1,0,0,0,1,1,0,1,0,1,0
{'una_1'},0,1,1,0,0,0,1,1,0,1,0,1,0
